資料年月,縣市,燃料別,車種類別,數量
201804,臺北市,電能,小貨車,0
201804,臺北市,電能,特種車,0
201804,臺北市,電能,機車重型,214
201804,臺北市,電能,機車輕型,19
201804,臺北市,電能(增程),大客車,0
201804,臺北市,電能(增程),大貨車,0
201804,臺北市,電能(增程),小客車,0
201804,臺北市,電能(增程),小貨車,0
201804,臺北市,電能(增程),特種車,0
201804,臺北市,電能(增程),機車重型,0
201804,臺北市,電能(增程),機車輕型,0
201804,臺北市,電能/汽油,大客車,0
201804,臺北市,電能/汽油,大貨車,0
201804,臺北市,電能/汽油,小客車,3
201804,臺北市,電能/汽油,小貨車,0
201804,臺北市,電能/汽油,特種車,0
201804,臺北市,電能/汽油,機車重型,0
201804,臺北市,電能/汽油,機車輕型,0
201804,臺北市,電能/柴油,大客車,0
201804,臺北市,電能/柴油,大貨車,0
201804,臺北市,電能/柴油,小客車,0
201804,臺北市,電能/柴油,小貨車,0
201804,臺北市,電能/柴油,特種車,0
201804,臺北市,電能/柴油,機車重型,0
201804,臺北市,電能/柴油,機車輕型,0
201804,臺北市,總計,大客車,33
201804,臺北市,總計,大貨車,44
201804,臺北市,總計,小客車,5354
201804,臺北市,總計,小貨車,528
201804,臺北市,總計,特種車,12
201804,臺北市,總計,機車重型,3886
201804,臺北市,總計,機車輕型,20
201805,臺北市,汽油,大客車,0
201805,臺北市,汽油,大貨車,0
201805,臺北市,汽油,小客車,5039
201805,臺北市,汽油,小貨車,244
201805,臺北市,汽油,特種車,9
201805,臺北市,汽油,機車重型,4068
201805,臺北市,汽油,機車輕型,2
201805,臺北市,汽油(油電),大客車,0
201805,臺北市,汽油(油電),大貨車,0
201805,臺北市,汽油(油電),小客車,136
201805,臺北市,汽油(油電),小貨車,0
201805,臺北市,汽油(油電),特種車,0
201805,臺北市,汽油(油電),機車重型,0
201805,臺北市,汽油(油電),機車輕型,0
201805,臺北市,汽油/LPG,大客車,0
201805,臺北市,汽油/LPG,大貨車,0
201805,臺北市,汽油/LPG,小客車,0
201805,臺北市,汽油/LPG,小貨車,0
201805,臺北市,汽油/LPG,特種車,0
201805,臺北市,汽油/LPG,機車重型,0
201805,臺北市,汽油/LPG,機車輕型,0
201805,臺北市,汽油/電能,大客車,0
201805,臺北市,汽油/電能,大貨車,0
201805,臺北市,汽油/電能,小客車,24
201805,臺北市,汽油/電能,小貨車,0
201805,臺北市,汽油/電能,特種車,0
201805,臺北市,汽油/電能,機車重型,0
201805,臺北市,汽油/電能,機車輕型,0
201805,臺北市,柴油,大客車,25
201805,臺北市,柴油,大貨車,59
201805,臺北市,柴油,小客車,389
201805,臺北市,柴油,小貨車,261
201805,臺北市,柴油,特種車,41
201805,臺北市,柴油,機車重型,0
201805,臺北市,柴油,機車輕型,0
201805,臺北市,柴油(油電),大客車,0
201805,臺北市,柴油(油電),大貨車,0
201805,臺北市,柴油(油電),小客車,0
201805,臺北市,柴油(油電),小貨車,0
201805,臺北市,柴油(油電),特種車,0
201805,臺北市,柴油(油電),機車重型,0
201805,臺北市,柴油(油電),機車輕型,0
201805,臺北市,柴油/電能,大客車,0
201805,臺北市,柴油/電能,大貨車,0
201805,臺北市,柴油/電能,小客車,0
201805,臺北市,柴油/電能,小貨車,0
201805,臺北市,柴油/電能,特種車,0
201805,臺北市,柴油/電能,機車重型,0
201805,臺北市,柴油/電能,機車輕型,0
201805,臺北市,液化石油氣,大客車,0
201805,臺北市,液化石油氣,大貨車,0
201805,臺北市,液化石油氣,小客車,0
201805,臺北市,液化石油氣,小貨車,0
201805,臺北市,液化石油氣,特種車,0
201805,臺北市,液化石油氣,機車重型,0
201805,臺北市,液化石油氣,機車輕型,0
201805,臺北市,電能,大客車,0
201805,臺北市,電能,大貨車,0
201805,臺北市,電能,小客車,33
201805,臺北市,電能,小貨車,0
201805,臺北市,電能,特種車,0
201805,臺北市,電能,機車重型,237
201805,臺北市,電能,機車輕型,21
201805,臺北市,電能(增程),大客車,0
201805,臺北市,電能(增程),大貨車,0
201805,臺北市,電能(增程),小客車,1
201805,臺北市,電能(增程),小貨車,0
201805,臺北市,電能(增程),特種車,0
201805,臺北市,電能(增程),機車重型,0
201805,臺北市,電能(增程),機車輕型,0
201805,臺北市,電能/汽油,大客車,0
201805,臺北市,電能/汽油,大貨車,0
201805,臺北市,電能/汽油,小客車,9
201805,臺北市,電能/汽油,小貨車,0
201805,臺北市,電能/汽油,特種車,0
201805,臺北市,電能/汽油,機車重型,0
201805,臺北市,電能/汽油,機車輕型,0
201805,臺北市,電能/柴油,大客車,0
201805,臺北市,電能/柴油,大貨車,0
201805,臺北市,電能/柴油,小客車,0
201805,臺北市,電能/柴油,小貨車,0
201805,臺北市,電能/柴油,特種車,0
201805,臺北市,電能/柴油,機車重型,0
201805,臺北市,電能/柴油,機車輕型,0
201805,臺北市,總計,大客車,25
201805,臺北市,總計,大貨車,59
201805,臺北市,總計,小客車,5631
201805,臺北市,總計,小貨車,505
201805,臺北市,總計,特種車,50
201805,臺北市,總計,機車重型,4305
201805,臺北市,總計,機車輕型,23
201806,臺北市,汽油,大客車,0
201806,臺北市,汽油,大貨車,0
201806,臺北市,汽油,小客車,5475
201806,臺北市,汽油,小貨車,334
201806,臺北市,汽油,特種車,114
201806,臺北市,汽油,機車重型,3896
201806,臺北市,汽油,機車輕型,1
201806,臺北市,汽油(油電),大客車,0
201806,臺北市,汽油(油電),大貨車,0
201806,臺北市,汽油(油電),小客車,138
201806,臺北市,汽油(油電),小貨車,0
201806,臺北市,汽油(油電),特種車,0
201806,臺北市,汽油(油電),機車重型,0
201806,臺北市,汽油(油電),機車輕型,0
201806,臺北市,汽油/LPG,大客車,0
201806,臺北市,汽油/LPG,大貨車,0
201806,臺北市,汽油/LPG,小客車,0
201806,臺北市,汽油/LPG,小貨車,0
201806,臺北市,汽油/LPG,特種車,0
201806,臺北市,汽油/LPG,機車重型,0
201806,臺北市,汽油/LPG,機車輕型,0
201806,臺北市,汽油/電能,大客車,0
201806,臺北市,汽油/電能,大貨車,0
201806,臺北市,汽油/電能,小客車,33
201806,臺北市,汽油/電能,小貨車,0
201806,臺北市,汽油/電能,特種車,0
201806,臺北市,汽油/電能,機車重型,0
201806,臺北市,汽油/電能,機車輕型,0
201806,臺北市,柴油,大客車,36
201806,臺北市,柴油,大貨車,70
201806,臺北市,柴油,小客車,554
201806,臺北市,柴油,小貨車,304
201806,臺北市,柴油,特種車,10
201806,臺北市,柴油,機車重型,0
201806,臺北市,柴油,機車輕型,0
201806,臺北市,柴油(油電),大客車,0
201806,臺北市,柴油(油電),大貨車,0
201806,臺北市,柴油(油電),小客車,0
201806,臺北市,柴油(油電),小貨車,0
201806,臺北市,柴油(油電),特種車,0
201806,臺北市,柴油(油電),機車重型,0
201806,臺北市,柴油(油電),機車輕型,0
201806,臺北市,柴油/電能,大客車,0
201806,臺北市,柴油/電能,大貨車,0
201806,臺北市,柴油/電能,小客車,0
201806,臺北市,柴油/電能,小貨車,0
201806,臺北市,柴油/電能,特種車,0
201806,臺北市,柴油/電能,機車重型,0
201806,臺北市,柴油/電能,機車輕型,0
201806,臺北市,液化石油氣,大客車,0
201806,臺北市,液化石油氣,大貨車,0
201806,臺北市,液化石油氣,小客車,0
201806,臺北市,液化石油氣,小貨車,0
201806,臺北市,液化石油氣,特種車,0
201806,臺北市,液化石油氣,機車重型,0
201806,臺北市,液化石油氣,機車輕型,0
201806,臺北市,電能,大客車,0
201806,臺北市,電能,大貨車,0
201806,臺北市,電能,小客車,47
201806,臺北市,電能,小貨車,0
201806,臺北市,電能,特種車,0
201806,臺北市,電能,機車重型,341
201806,臺北市,電能,機車輕型,38
201806,臺北市,電能(增程),大客車,0
201806,臺北市,電能(增程),大貨車,0
201806,臺北市,電能(增程),小客車,0
201806,臺北市,電能(增程),小貨車,0
201806,臺北市,電能(增程),特種車,0
201806,臺北市,電能(增程),機車重型,0
201806,臺北市,電能(增程),機車輕型,0
201806,臺北市,電能/汽油,大客車,0
201806,臺北市,電能/汽油,大貨車,0
201806,臺北市,電能/汽油,小客車,9
201806,臺北市,電能/汽油,小貨車,0
201806,臺北市,電能/汽油,特種車,0
201806,臺北市,電能/汽油,機車重型,0
201806,臺北市,電能/汽油,機車輕型,0
201806,臺北市,電能/柴油,大客車,0
201806,臺北市,電能/柴油,大貨車,0
201806,臺北市,電能/柴油,小客車,0
201806,臺北市,電能/柴油,小貨車,0
201806,臺北市,電能/柴油,特種車,0
201806,臺北市,電能/柴油,機車重型,0
201806,臺北市,電能/柴油,機車輕型,0
201806,臺北市,總計,大客車,36
201806,臺北市,總計,大貨車,70
201806,臺北市,總計,小客車,6256
201806,臺北市,總計,小貨車,638
201806,臺北市,總計,特種車,124
201806,臺北市,總計,機車重型,4237
201806,臺北市,總計,機車輕型,39
201807,臺北市,汽油,大客車,0
201807,臺北市,汽油,大貨車,0
201807,臺北市,汽油,小客車,5778
201807,臺北市,汽油,小貨車,287
201807,臺北市,汽油,特種車,17
201807,臺北市,汽油,機車重型,4235
201807,臺北市,汽油,機車輕型,1
201807,臺北市,汽油(油電),大客車,0
201807,臺北市,汽油(油電),大貨車,0
201807,臺北市,汽油(油電),小客車,161
201807,臺北市,汽油(油電),小貨車,0
201807,臺北市,汽油(油電),特種車,1
201807,臺北市,汽油(油電),機車重型,0
201807,臺北市,汽油(油電),機車輕型,0
201807,臺北市,汽油/LPG,大客車,0
201807,臺北市,汽油/LPG,大貨車,0
201807,臺北市,汽油/LPG,小客車,0
201807,臺北市,汽油/LPG,小貨車,0
201807,臺北市,汽油/LPG,特種車,0
201807,臺北市,汽油/LPG,機車重型,0
201807,臺北市,汽油/LPG,機車輕型,0
201807,臺北市,汽油/電能,大客車,0
201807,臺北市,汽油/電能,大貨車,0
201807,臺北市,汽油/電能,小客車,33
201807,臺北市,汽油/電能,小貨車,0
201807,臺北市,汽油/電能,特種車,1
201807,臺北市,汽油/電能,機車重型,0
201807,臺北市,汽油/電能,機車輕型,0
201807,臺北市,柴油,大客車,11
201807,臺北市,柴油,大貨車,59
201807,臺北市,柴油,小客車,365
201807,臺北市,柴油,小貨車,316
201807,臺北市,柴油,特種車,44
201807,臺北市,柴油,機車重型,0
201807,臺北市,柴油,機車輕型,0
201807,臺北市,柴油(油電),大客車,0
201807,臺北市,柴油(油電),大貨車,0
201807,臺北市,柴油(油電),小客車,0
201807,臺北市,柴油(油電),小貨車,0
201807,臺北市,柴油(油電),特種車,0
201807,臺北市,柴油(油電),機車重型,0
201807,臺北市,柴油(油電),機車輕型,0
201807,臺北市,柴油/電能,大客車,0
201807,臺北市,柴油/電能,大貨車,0
201807,臺北市,柴油/電能,小客車,0
201807,臺北市,柴油/電能,小貨車,0
201807,臺北市,柴油/電能,特種車,0
201807,臺北市,柴油/電能,機車重型,0
201807,臺北市,柴油/電能,機車輕型,0
201807,臺北市,液化石油氣,大客車,0
201807,臺北市,液化石油氣,大貨車,0
201807,臺北市,液化石油氣,小客車,0
201807,臺北市,液化石油氣,小貨車,0
201807,臺北市,液化石油氣,特種車,0
201807,臺北市,液化石油氣,機車重型,0
201807,臺北市,液化石油氣,機車輕型,0
201807,臺北市,電能,大客車,0
201807,臺北市,電能,大貨車,0
201807,臺北市,電能,小客車,11
201807,臺北市,電能,小貨車,0
201807,臺北市,電能,特種車,0
201807,臺北市,電能,機車重型,367
201807,臺北市,電能,機車輕型,332
201807,臺北市,電能(增程),大客車,0
201807,臺北市,電能(增程),大貨車,0
201807,臺北市,電能(增程),小客車,0
201807,臺北市,電能(增程),小貨車,0
201807,臺北市,電能(增程),特種車,0
201807,臺北市,電能(增程),機車重型,0
201807,臺北市,電能(增程),機車輕型,0
201807,臺北市,電能/汽油,大客車,0
201807,臺北市,電能/汽油,大貨車,0
201807,臺北市,電能/汽油,小客車,4
201807,臺北市,電能/汽油,小貨車,0
201807,臺北市,電能/汽油,特種車,0
201807,臺北市,電能/汽油,機車重型,0
201807,臺北市,電能/汽油,機車輕型,0
201807,臺北市,電能/柴油,大客車,0
201807,臺北市,電能/柴油,大貨車,0
201807,臺北市,電能/柴油,小客車,0
201807,臺北市,電能/柴油,小貨車,0
201807,臺北市,電能/柴油,特種車,0
201807,臺北市,電能/柴油,機車重型,0
201807,臺北市,電能/柴油,機車輕型,0
201807,臺北市,總計,大客車,11
201807,臺北市,總計,大貨車,59
201807,臺北市,總計,小客車,6352
201807,臺北市,總計,小貨車,603
201807,臺北市,總計,特種車,63
201807,臺北市,總計,機車重型,4602
201807,臺北市,總計,機車輕型,333
201808,臺北市,汽油,大客車,0
201808,臺北市,汽油,大貨車,0
201808,臺北市,汽油,小客車,3482
201808,臺北市,汽油,小貨車,211
201808,臺北市,汽油,特種車,102
201808,臺北市,汽油,機車重型,4536
201808,臺北市,汽油,機車輕型,0
201808,臺北市,汽油(油電),大客車,0
201808,臺北市,汽油(油電),大貨車,0
201808,臺北市,汽油(油電),小客車,81
201808,臺北市,汽油(油電),小貨車,0
201808,臺北市,汽油(油電),特種車,0
201808,臺北市,汽油(油電),機車重型,0
201808,臺北市,汽油(油電),機車輕型,0
201808,臺北市,汽油/LPG,大客車,0
201808,臺北市,汽油/LPG,大貨車,0
201808,臺北市,汽油/LPG,小客車,0
201808,臺北市,汽油/LPG,小貨車,0
201808,臺北市,汽油/LPG,特種車,0
201808,臺北市,汽油/LPG,機車重型,0
201808,臺北市,汽油/LPG,機車輕型,0
201808,臺北市,汽油/電能,大客車,0
201808,臺北市,汽油/電能,大貨車,0
201808,臺北市,汽油/電能,小客車,12
201808,臺北市,汽油/電能,小貨車,0
201808,臺北市,汽油/電能,特種車,0
201808,臺北市,汽油/電能,機車重型,0
201808,臺北市,汽油/電能,機車輕型,0
201808,臺北市,柴油,大客車,37
201808,臺北市,柴油,大貨車,59
201808,臺北市,柴油,小客車,247
201808,臺北市,柴油,小貨車,270
201808,臺北市,柴油,特種車,17
201808,臺北市,柴油,機車重型,0
201808,臺北市,柴油,機車輕型,0
201808,臺北市,柴油(油電),大客車,0
201808,臺北市,柴油(油電),大貨車,0
